LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,MLN_USD,A,1981,3385.8447941163,
AUS,GDEXPRD,TOT,MLN_USD,A,1984,4134.1306481104,
AUS,GDEXPRD,TOT,MLN_USD,A,1986,5081.8434435356,
AUS,GDEXPRD,TOT,MLN_USD,A,1987,5184.3873977222,
AUS,GDEXPRD,TOT,MLN_USD,A,1988,5506.3710195836,
AUS,GDEXPRD,TOT,MLN_USD,A,1990,6148.530316284,
AUS,GDEXPRD,TOT,MLN_USD,A,1992,7451.0732485875,
AUS,GDEXPRD,TOT,MLN_USD,A,1994,8309.1278937229,
AUS,GDEXPRD,TOT,MLN_USD,A,1996,9413.3153704548,
AUS,GDEXPRD,TOT,MLN_USD,A,1998,9396.1379835357,
AUS,GDEXPRD,TOT,MLN_USD,A,2000,10219.7347740211,
AUS,GDEXPRD,TOT,MLN_USD,A,2002,12219.777661813,
AUS,GDEXPRD,TOT,MLN_USD,A,2004,13788.5690898571,
AUS,GDEXPRD,TOT,MLN_USD,A,2006,17048.904142366,
AUS,GDEXPRD,TOT,MLN_USD,A,2008,20198.0699142759,
AUS,GDEXPRD,TOT,MLN_USD,A,2010,20572.1875375628,
AUS,GDEXPRD,TOT,MLN_USD,A,2011,20646.7908966306,
AUS,GDEXPRD,TOT,MLN_USD,A,2013,21563.4998859574,
AUS,GDEXPRD,TOT,PC_GDP,A,1981,0.9031030278,
AUS,GDEXPRD,TOT,PC_GDP,A,1984,1.0242056329,
AUS,GDEXPRD,TOT,PC_GDP,A,1986,1.179037773,
AUS,GDEXPRD,TOT,PC_GDP,A,1987,1.1372221056,
AUS,GDEXPRD,TOT,PC_GDP,A,1988,1.1627495976,
AUS,GDEXPRD,TOT,PC_GDP,A,1990,1.258874438,
AUS,GDEXPRD,TOT,PC_GDP,A,1992,1.4602145645,
AUS,GDEXPRD,TOT,PC_GDP,A,1994,1.5067252005,
AUS,GDEXPRD,TOT,PC_GDP,A,1996,1.5797444935,
